ACCT - Accounting;;;;;;;;;;;;;;;
CRN;Subj;Crse;Sec;Cmp;Cred;Title;Days;Time;Cap;Act;Rem;Instructor;Date (MM/DD);Location;Attribute
;;;;;;;;;;;;Click name to see CV;;;
10001;ACCT;209;501;CS;3;SURVEY OF ACCT PRIN (Syllabus);T;08:00 am-09:15 am;444;444;0;Mary K. Stasny (P);01/17-05/08;WCBA 113;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);02/15-02/15;TBA;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);03/22-03/22;TBA;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);04/26-04/26;TBA;
10002;ACCT;209;502;CS;3;SURVEY OF ACCT PRIN (Syllabus);R;08:00 am-09:15 am;455;455;0;Mary K. Stasny (P);01/17-05/08;WCBA 113;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);02/15-02/15;TBA;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);03/22-03/22;TBA;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);04/26-04/26;TBA;
27456;ACCT;209;503;CS;3;SURVEY OF ACCT PRIN (Syllabus);T;08:00 am-09:15 am;15;15;0;Mary K. Stasny (P);01/17-05/08;WCBA 113;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);02/15-02/15;TBA;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);03/22-03/22;TBA;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);04/26-04/26;TBA;
27457;ACCT;209;504;CS;3;SURVEY OF ACCT PRIN (Syllabus);R;08:00 am-09:15 am;5;5;0;Mary K. Stasny (P);01/17-05/08;WCBA 113;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);02/15-02/15;TBA;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);03/22-03/22;TBA;
;;;;;;;R;07:15 pm-09:00 pm;;;;Mary K. Stasny (P);04/26-04/26;TBA;
14103;ACCT;210;501;CS;3;MGRL & COST ACCT PRIN (Syllabus);TR;08:00 am-09:15 am;100;86;14;Robert Strawser (P);01/17-05/08;WCBA 161;
;;;;;;(Restrictions/Details);;;;;;;;;
27381;ACCT;210;502;CS;3;MGRL & COST ACCT PRIN (Syllabus);TR;09:35 am-10:50 am;100;95;5;Robert Strawser (P);01/17-05/08;WCBA 161;
;;;;;;(Restrictions/Details);;;;;;;;;
